src	en	fam	cat	sev	db	rid	conf
对象前需添加属主	Add Schema Qualifier Before Object References	audit	dml	info		aud-add-schema-qualifier-before-object-references	high
添加CHECK约束时需添加NO VALID	AddCheckConstraintShouldBeDeferred	audit	ddl	warning		aud-addcheckconstraintshouldbedeferred	high
禁止新增有默认值的列	AddingColumnsWithDefaultDisallowed	audit	ddl	warning		aud-addingcolumnswithdefaultdisallowed	high
自增列命名规范	Auto-increment column naming convention	audit	ddl	info		aud-autoincrement-column-naming-convention	high
分布式数据库应避免出现ANTIJOIN操作	Avoid ANTI JOIN Operations in Distributed Databases	audit	dml	warning	分布式数据库	aud-avoid-anti-join-operations-in-distributed-databa	high
避免COUNT DISTINCT多个可空列	Avoid COUNT DISTINCT on Multiple Nullable Columns	audit	dml	info		aud-avoid-count-distinct-on-multiple-nullable-column	high
避免使用CROSS JOIN	Avoid CROSS JOIN	audit	dml	warning		aud-avoid-cross-join	high
分布式数据库应避免跨分片的DML操作	Avoid Cross-Shard DML Operations in Distributed Databases	audit	dml	warning	分布式数据库	aud-avoid-crossshard-dml-operations-in-distributed-d	high
避免表引用使用重复的别名	Avoid Duplicate Table Aliases	audit	dml	warning		aud-avoid-duplicate-table-aliases	high
避免有派生表的查询语句使用for update	Avoid FOR UPDATE with Derived Tables	audit	dml	warning	MySQL	aud-avoid-for-update-with-derived-tables	high
避免GROUP BY选择列的序号	Avoid GROUP BY Column Ordinal Position	audit	dml	info		aud-avoid-group-by-column-ordinal-position	high
避免对长字段进行分组	Avoid GROUP BY on Long Columns	audit	dml	warning		aud-avoid-group-by-on-long-columns	high
避免表关联字段不是分布键	Avoid Joining on Non-Distribution Key Columns	audit	ddl	warning	分布式数据库（包括但不限于：openGauss、PostgreSQL-XL、TDSQL、OceanBase、TiDB、DWS 等）	aud-avoid-joining-on-nondistribution-key-columns	high
避免常量字符串开头或结尾包含空格	Avoid Leading or Trailing Spaces in String Literals	audit	dml	warning		aud-avoid-leading-or-trailing-spaces-in-string-liter	high
避免%开头的LIKE查询	Avoid LIKE Pattern Starting with Wildcard	audit	index	warning		aud-avoid-like-pattern-starting-with-wildcard	high
避免使用没有通配符的 LIKE 查询	Avoid LIKE Without Wildcards	audit	dml	warning		aud-avoid-like-without-wildcards	high
避免在SELECT语句中使用LIMIT而没有ORDER BY	Avoid LIMIT Without ORDER BY in SELECT	audit	dml	warning		aud-avoid-limit-without-order-by-in-select	high
避免在UPDELETE语句中使用LIMIT而没有ORDER	Avoid LIMIT Without ORDER BY in UPDATE/DELETE	audit	dml	warning		aud-avoid-limit-without-order-by-in-updatedelete	high
分布键不建议使用多个字段	Avoid Multiple Distribution Keys	audit	ddl	warning	分布式数据库	aud-avoid-multiple-distribution-keys	high
避免使用NATURAL JOIN	Avoid NATURAL JOIN	audit	dml	warning		aud-avoid-natural-join	high
避免对条件字段使用负向查询	Avoid Negative Queries on Filter Columns	audit	index	warning		aud-avoid-negative-queries-on-filter-columns	high
分布式数据库不建议创建非分布表	Avoid Non-Distributed Tables	audit	ddl	warning	分布式数据库	aud-avoid-nondistributed-tables	high
避免不同字段的OR条件	Avoid OR Conditions on Different Columns	audit	index	warning		aud-avoid-or-conditions-on-different-columns	high
避免ORDER BY选择列的序号	Avoid ORDER BY Column Ordinal Position	audit	dml	info		aud-avoid-order-by-column-ordinal-position	high
避免ORDERBY字段来自不同表	Avoid ORDER BY Columns from Different Tables	audit	index	info		aud-avoid-order-by-columns-from-different-tables	high
避免对长字段进行排序	Avoid ORDER BY on Long Columns	audit	dml	warning		aud-avoid-order-by-on-long-columns	high
避免使用随机函数排序	Avoid ORDER BY Random Function	audit	dml	warning		aud-avoid-order-by-random-function	high
大表不建议使用复制(Replicated)分布	Avoid Replicated Distribution for Large Tables	audit	ddl	warning	分布式数据库（Greenplum、PostgreSQL-XL、TDSQL、DWS 等）	aud-avoid-replicated-distribution-for-large-tables	high
避免使用标量子查询	Avoid Scalar Subqueries	audit	dml	info		aud-avoid-scalar-subqueries	high
避免在查询中使用SELECT _	Avoid SELECT *	audit	dml	info		aud-avoid-select	high
避免在SELECT语句添加FOR UPDATE	Avoid SELECT with FOR UPDATE	audit	dml	warning		aud-avoid-select-with-for-update	high
避免limit子句的查询语句使用for update	Avoid SELECT with LIMIT and FOR UPDATE	audit	dml	warning	MySQL	aud-avoid-select-with-limit-and-for-update	high
避免无条件且无分组的SELECT语句	Avoid SELECT Without WHERE and GROUP BY	audit	dml	info		aud-avoid-select-without-where-and-group-by	high
避免查询排序时指定COLLATION	Avoid Specifying COLLATION in ORDER BY	audit	index	warning		aud-avoid-specifying-collation-in-order-by	high
避免使用STRAIGHT JOIN	Avoid STRAIGHT JOIN	audit	dml	warning	MySQL	aud-avoid-straight-join	high
避免无条件的UPDELETE语句	Avoid Unconditional UPDATE/DELETE Statements	audit	dml	warning		aud-avoid-unconditional-updatedelete-statements	high
避免使用不必要的内置函数	Avoid Unnecessary Built-in Functions	audit	dml	info		aud-avoid-unnecessary-builtin-functions	high
避免不必要的去重操作	Avoid Unnecessary DISTINCT Operations	audit	dml	info		aud-avoid-unnecessary-distinct-operations	high
避免不必要的更新操作	Avoid Unnecessary UPDATE Operations	audit	dml	info		aud-avoid-unnecessary-update-operations	high
避免更新主键的值	Avoid Updating Primary Key Values	audit	dml	warning		aud-avoid-updating-primary-key-values	high
避免更新唯一约束的值	Avoid Updating Unique Constraint Values	audit	dml	warning		aud-avoid-updating-unique-constraint-values	high
索引中避免使用可空列	AvoidUsingNullableColumnsInIndex	audit	index	warning		aud-avoidusingnullablecolumnsinindex	high
HIVE中关联字段分桶数应保持整数倍	Bucket Count Integer Multiple for Join in Hive	audit	dml	info	Hive	aud-bucket-count-integer-multiple-for-join-in-hive	high
自增序列耗尽预警	CacheExhausted4IdentityColumn	audit	ddl	warning		aud-cacheexhausted4identitycolumn	high
禁止修改字段名	ChangingColumnNameDisallowed	audit	ddl	warning		aud-changingcolumnnamedisallowed	high
